Round,ADP,Player,,,,,,,,N,,,Players + Rookies (372),Rank
12.12,144.2,Cordarrelle Patterson,Cordarrelle,Patterson,ATL,RB,,,,150,,,Cordarrelle Patterson ATL RB,RB43
13.01,144.9,Alexander Mattison,Alexander,Mattison,MIN,RB,,,,151,,,Alexander Mattison MIN RB,RB44
13.06,149.9,Robert Woods,Robert,Woods,TEN,WR,,,,152,,,Robert Woods TEN WR,WR59
13.06,150.2,Hunter Henry,Hunter,Henry,NE,TE,,,,153,,,Hunter Henry NE TE,TE18
13.09,153.3,Jalen Tolbert,Jalen,Tolbert,DAL,WR,,,,154,,,Jalen Tolbert DAL WR,WR60
13.10,153.8,Zamir White,Zamir,White,LV,RB,,,,155,,,Zamir White LV RB,RB45
13.10,153.9,Ronald Jones,Ronald,Jones,KC,RB,,,,156,,,Ronald Jones KC RB,RB46
13.10,154.0,Baker Mayfield,Baker,Mayfield,CLE,QB,,,,157,,,Baker Mayfield CLE QB,QB33
13.11,154.5,Jakobi Meyers,Jakobi,Meyers,NE,WR,,,,158,,,Jakobi Meyers NE WR,WR61
14.01,156.7,Melvin Gordon,Melvin,Gordon,DEN,RB,,,,159,,,Melvin Gordon DEN RB,RB47
14.02,158.0,Brian Robinson,Brian,Robinson,WAS,RB,,,,160,,,Brian Robinson WAS RB,RB48
14.03,159.1,D.J. Chark,D.J.,Chark,DET,WR,,,,161,,,D.J. Chark DET WR,WR62
14.04,159.8,Russell Gage,Russell,Gage,TB,WR,,,,162,,,Russell Gage TB WR,WR63
14.04,159.9,Marcus Mariota,Marcus,Mariota,ATL,QB,,,,163,,,Marcus Mariota ATL QB,QB34
14.04,160.4,Tyrion Davis-Price,Tyrion,Davis-Price,SF,RB,,,,164,,,Tyrion Davis-Price SF RB,RB49
14.05,161.0,Tyler Boyd,Tyler,Boyd,CIN,WR,,,,165,,,Tyler Boyd CIN WR,WR64
14.10,166.2,Allen Lazard,Allen,Lazard,GB,WR,,,,166,,,Allen Lazard GB WR,WR65
14.11,167.0,Khalil Herbert,Khalil,Herbert,CHI,RB,,,,167,,,Khalil Herbert CHI RB,RB50
14.11,167.5,Kenneth Gainwell,Kenneth,Gainwell,PHI,RB,,,,168,,,Kenneth Gainwell PHI RB,RB51
15.01,168.7,David Njoku,David,Njoku,CLE,TE,,,,169,,,David Njoku CLE TE,TE19
15.01,168.7,Darrell Henderson,Darrell,Henderson,LAR,RB,,,,170,,,Darrell Henderson LAR RB,RB52
15.01,168.9,Jelani Woods,Jelani,Woods,IND,TE,,,,171,,,Jelani Woods IND TE,TE20
15.02,169.9,Chuba Hubbard,Chuba,Hubbard,CAR,RB,,,,172,,,Chuba Hubbard CAR RB,RB53
